Country,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,796.631829179134,705.47749534881,686.557557719746,647.385534561172,561.649634566263,611.67121911225,640.676265282984,632.001024153219,683.324632754874,722.875356284026,704.030462837221,772.151450503284,808.278281490135
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,542.284101222819,683.534475990489,598.572626248258,616.159928714289,605.122546466363,585.957012587988,642.666390086932,718.245737766542,781.644367625001,730.611432270196,710.258132978222,795.118605039186,775.828965745365
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,14905.5145764646,18659.4160247571,18756.4250273225,17644.5943045414,16804.9249271976,9788.98380398528,8035.30766558427,8410.39798030589,8719.18686965483,7317.39002392662,6198.94252378655,7406.08497479348,7182.26538205027
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19143.8876174584,17617.2915057014,20310.6824798873,20867.2690861087
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,6760.97488416081,6775.74927822931,6900.76507593244,7205.25476521885,7726.37826175954,8379.62184743156,8849.51353500776,9309.26129609568,9574.3102711372,9887.92074235834,8437.5367823125,9010.5127999358,9689.08269960317
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,43988.5280290494,47186.8759969388,45936.9562817724,47535.4883792376,50485.2244135291,44536.3549705377,48181.7453541266,50765.7494665372,54545.135857765,53309.2035905065,54693.0766804265,57116.295770722,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,2852.55759284808,3228.03827784076,3355.03477737406,3522.76742900978,3779.62620518889,3994.62908519019,4173.28134863663,4454.02450948165,4485.75213495073,4647.80754129437,4609.89725752869,5029.47755484093,5473.20856444589
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,30011.2185803948,30087.7155914011,31642.1462570316,32318.8908975541,33483.9414359299,34522.3779304433,35052.8079075238,35663.0250406273,35902.725903793,37752.633077142,34780.8616624614,35904.8635462723,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,4589.87249766592,4960.00472639074,5461.39008471262,5576.25021487084,5495.37708403183,5668.42976474423,5905.38019563205,6220.97856820609,6094.90983678918,6477.29672607993,6863.07434593017,9994.64570422569,18199.4748396968
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,38768.1877108028,41688.7348432025,41480.8641475896,41752.3619190175,42412.1297171059,39811.4801820307,40428.1793753078,42077.8430006954,44528.1687418121,44725.9950930598,43457.6982437448,48535.4658244281,49607.246548019
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,32550.136489179,35142.4879344543,36730.796195815,38403.7777145477,40315.3739510191,42432.1619740441,43734.1980702999,46160.429791493,48537.5668888343,48359.0011950597,46109.2299946609,49764.793115622,48983.6217162934
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1874.27170372599,2053.95969493403,2107.34542786596,2064.55053629483,2164.42455009318,2257.22528369354,2295.53627000423,2403.30608839303,2457.6860424186,2519.36618467309,2354.12143387307,2771.72265387572,3040.17304596842
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,833.65058901251,908.508026434671,914.728296438905,988.605140695814,1021.15644841509,963.318067757582,981.831642180149,1055.40420733235,977.237530453693,985.130486573086,968.465881346309,1047.07519807515,1109.01426124728
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,13693.5000292691,14655.8743881973,13439.6645555189,13979.1855602956,14001.1603438958,12098.5120254631,12579.9227031481,13592.2545240617,15040.0369182791,15120.9029026824,14269.9088549332,17809.0323901126,18570.4039968345
